lat,lon,elevation,distance,slope,speed_optimal
43.671807,40.289255,666.0,2556.14,0.0,50.0
43.671765,40.289319,666.0,2563.09,0.0,50.0
43.671707,40.289344,666.0,2569.84,0.0,50.0
43.671663,40.289336,666.0,2574.78,0.0,50.0
43.671618,40.289293,666.0,2580.86,0.0,50.0
43.67159,40.289213,666.0,2588.01,0.0,50.0
43.671593,40.289066,666.0,2599.84,0.0,50.0
43.671635,40.288757,666.0,2625.12,0.0,50.0
43.671815,40.287666,666.0,2715.12,0.0,50.0
43.671833,40.287454,648.0,2732.29,-46.3555,10.0
43.671831,40.287355,648.0,2740.26,0.0,50.0
43.671811,40.287272,648.0,2747.29,0.0,50.0
43.671762,40.287173,648.0,2756.94,0.0,50.0
43.671689,40.287079,648.0,2768.03,0.0,50.0
43.671642,40.287042,648.0,2774.05,0.0,50.0
43.671594,40.28702,648.0,2779.67,0.0,50.0
43.671532,40.287012,648.0,2786.59,0.0,50.0
43.67146,40.287025,648.0,2794.67,0.0,50.0
43.671325,40.287091,648.0,2810.59,0.0,50.0
43.671206,40.287216,648.0,2827.21,0.0,50.0
43.671124,40.287331,648.0,2840.2,0.0,50.0
43.671053,40.287439,648.0,2851.94,0.0,50.0
43.67094,40.287643,666.0,2872.6,41.0556,10.0
43.670864,40.287924,666.0,2896.73,0.0,50.0
43.670855,40.28811,666.0,2911.72,0.0,50.0
43.670883,40.288568,666.0,2948.69,0.0,50.0
43.670888,40.28879,666.0,2966.56,0.0,50.0
43.670874,40.288957,666.0,2980.08,0.0,50.0
43.670834,40.289076,666.0,2990.63,0.0,50.0
43.670777,40.289178,710.0,3001.0,76.7422,10.0
43.670744,40.289233,710.0,3006.75,0.0,50.0
43.6707,40.289279,710.0,3012.88,0.0,50.0
43.670649,40.289331,710.0,3019.93,0.0,50.0
43.67058,40.289389,710.0,3028.91,0.0,50.0
43.670476,40.289469,710.0,3042.14,0.0,50.0
43.669897,40.289786,686.0,3111.39,-19.1157,10.0
43.669672,40.289847,686.0,3136.88,0.0,50.0
43.669546,40.28985,686.0,3150.89,0.0,50.0
43.669436,40.289812,686.0,3163.5,0.0,50.0
43.669005,40.289557,710.0,3215.63,24.721,10.0
43.668636,40.289324,719.0,3260.74,11.2835,21.79
43.668497,40.289257,719.0,3277.11,0.0,50.0
43.668405,40.289222,719.0,3287.72,0.0,50.0
43.668328,40.289218,719.0,3296.29,0.0,50.0
43.668247,40.28924,719.0,3305.46,0.0,50.0
43.66817,40.289286,719.0,3314.79,0.0,50.0
43.668114,40.289374,719.0,3324.22,0.0,50.0
43.668081,40.289475,719.0,3333.13,0.0,50.0
43.668072,40.289598,728.0,3343.08,42.148,10.0
43.668109,40.289753,728.0,3356.21,0.0,50.0
43.668163,40.289928,728.0,3371.51,0.0,50.0
43.668247,40.290149,728.0,3391.59,0.0,50.0
43.668279,40.29035,728.0,3408.14,0.0,50.0
43.668261,40.290534,728.0,3423.08,0.0,50.0
43.668199,40.2909,728.0,3453.31,0.0,50.0
43.668136,40.291189,728.0,3477.59,0.0,50.0
